Servicio,Distrito,Medidor
127459,36,9102725
3074126,1,9064448
647521,1,9117343
1538285,45,9116462
3089789,8,9024889
100019,21,9115659
100236,18,9103008
1057887,30,9118696
3027327,1,9120669
3089951,1,9117864
897699,1,9119759
576722,1,
3094002,8,9116880
648302,1,9117188
854713,46,9119830
1012656,8,9102951
835598,1,9102778
309762,3,9115700
3106975,1,
1198556,1,9117030
420546,1,9115523
128004,42,9115656
168798,8,9119352
1181355,1,9116502
100496,18,9103079
441188,1,9120719
3023328,47,9119763
3056772,22,9115972
823191,1,9115573
3030042,47,9116297
100231,18,9005375
127444,36,9018208
168991,17,9119386
328920,3,9115598
329545,6,9109349
329553,6,7243747
329724,5,703975
359969,22,9018951
363084,47,9119169
419191,1,9007154
419338,1,9117254
420068,1,9117365
420197,1,9116832
420654,1,9102836
420658,1,9118404
421774,1,9017935
549229,1,9117289
419079,1,9116601
362368,45,9118349
363104,47,9117433
776790,1,9119300
100392,18,9119453
879677,28,9117382
419250,1,9118555
386022,47,9117434
127621,36,9118268
511080,1,9117341
420587,1,9117086
129309,39,9029711
167899,11,9007344
420639,1,9118060
281244,36,9120106
362357,45,9118258
545678,1,9120208
127342,35,9120120
762918,1,9120049
419127,1,9117639
773989,1,9118617
419508,1,9116801
420582,1,9116746
360430,26,9115713
329520,7,9102711
696128,1,9117698
781230,1,9117638
932851,45,9119947
419707,1,9117284
318675,49,9119812
107081,18,9117911
964836,45,9117966
109663,21,9119579
363097,47,9118936
907920,1,9116477
420134,1,9119322
419790,1,9116577
1027431,28,9008980
472449,1,9116009
196074,8,9119335
995445,1,9102941
862091,1,9117037
831171,23,9118894
278549,30,9115874
279477,28,9075332
418323,1,9120058
421572,1,9119149
629978,1,9115970
127215,35,9117560
420221,1,9115909
329541,6,9119982
898300,47,9118382
329307,2,9118938
975286,1,9118062
1067613,28,9117436
420593,1,9115600
595014,1,9116042
966980,26,9119821
835403,26,9026974
1086275,28,9120167
278636,29,9120169
889804,28,9120074
541394,1,9117332
329127,3,9119983
1039480,5,9119990
1038557,8,9118917
1188739,28,9120192
1177005,47,9119844
419356,1,9118433
279395,28,9117924
419462,1,9103040
523108,1,9116752
421601,1,9118069
278650,28,9102790
419196,1,9118226
420225,1,9119145
885306,1,9118131
903841,8,9013075
956786,1,9102858
975416,1,9116605
419976,1,9116468
835605,1,9118434
1343516,22,9120751
279405,28,9118745
781077,1,9115905
419405,1,9118739
1188750,28,9120075
414988,11,9119389
418244,1,9117158
940111,1,9116943
718061,1,9117137
1272890,1,9116439
